02:45:25 | TEMA6 | INFO | =======================================================
02:45:25 | TEMA6 | INFO |  TEMA 6 — Ajuste y Seguimiento de Modelos
02:45:25 | TEMA6 | INFO | =======================================================
02:45:25 | TEMA6 | INFO | >>> Secciones 1-7 : Base pipeline
02:45:29 | TEMA6 | INFO | <<< OK: Secciones 1-7 : Base pipeline (4.19 s)
02:45:29 | TEMA6 | INFO | >>> Sección  8    : GridSearchCV + MLflow
02:45:59 | TEMA6 | INFO | <<< OK: Sección  8    : GridSearchCV + MLflow (30.48 s)
02:45:59 | TEMA6 | INFO | >>> Sección  9    : RandomizedSearchCV + MLflow
02:46:14 | TEMA6 | INFO | <<< OK: Sección  9    : RandomizedSearchCV + MLflow (14.69 s)
02:46:14 | TEMA6 | INFO | >>> Sección  10   : Comparar runs
02:46:17 | TEMA6 | INFO | <<< OK: Sección  10   : Comparar runs (3.11 s)
02:46:17 | TEMA6 | INFO | >>> Sección  11   : Mejor modelo
02:46:21 | TEMA6 | INFO | <<< OK: Sección  11   : Mejor modelo (3.76 s)
02:46:21 | TEMA6 | INFO | >>> Sección  12   : Model Registry
02:46:24 | TEMA6 | INFO | <<< OK: Sección  12   : Model Registry (3.04 s)
02:46:24 | TEMA6 | INFO | =======================================================
02:46:24 | TEMA6 | INFO |  TEMA 6 COMPLETADO
02:46:24 | TEMA6 | INFO | =======================================================
02:46:24 | TEMA6 | INFO |   [OK] Secciones 1-7 : Base pipeline
02:46:24 | TEMA6 | INFO |   [OK] Sección  8    : GridSearchCV + MLflow
02:46:24 | TEMA6 | INFO |   [OK] Sección  9    : RandomizedSearchCV + MLflow
02:46:24 | TEMA6 | INFO |   [OK] Sección  10   : Comparar runs
02:46:24 | TEMA6 | INFO |   [OK] Sección  11   : Mejor modelo
02:46:24 | TEMA6 | INFO |   [OK] Sección  12   : Model Registry
02:46:24 | TEMA6 | INFO | 
02:46:24 | TEMA6 | INFO |   Resultados:
02:46:24 | TEMA6 | INFO |     Gráfico comparativo : tema6/comparacion_runs.png
02:46:24 | TEMA6 | INFO |     Modelo registrado   : MLflow Model Registry (Staging)
02:46:24 | TEMA6 | INFO |     Log de ejecución    : tema6_run.log
02:46:24 | TEMA6 | INFO | 
02:46:24 | TEMA6 | INFO |   Para ver MLflow UI en Codespace:
02:46:24 | TEMA6 | INFO |     mlflow ui --host 0.0.0.0 --port 5000
02:46:24 | TEMA6 | INFO |     Luego: pestaña PORTS -> clic en globo del puerto 5000
